sku,name,category,unit,price,currency,brand,description
LRG-00058,Bulk SKU 58,Glass & Aluminium,pcs,68,INR,Jindal,10k catalog row 58
LRG-00059,Bulk SKU 59,Sanitary Ware,pcs,69,INR,Saint-Gobain,10k catalog row 59
LRG-00060,Bulk SKU 60,Steel & Metal,pcs,70,INR,UltraTech,10k catalog row 60
LRG-00061,Bulk SKU 61,Tiles & Flooring,pcs,71,INR,Tata,10k catalog row 61
LRG-00062,Bulk SKU 62,Electrical Supplies,pcs,72,INR,Kajaria,10k catalog row 62
LRG-00063,Bulk SKU 63,Plumbing & HVAC,pcs,73,INR,Havells,10k catalog row 63
LRG-00064,Bulk SKU 64,Paint & Finishes,pcs,74,INR,Jaquar,10k catalog row 64
LRG-00065,Bulk SKU 65,Building Materials,pcs,75,INR,Asian Paints,10k catalog row 65
LRG-00066,Bulk SKU 66,Lighting & Fixtures,pcs,76,INR,Bosch,10k catalog row 66
LRG-00067,Bulk SKU 67,Timber & Wood,pcs,77,INR,3M,10k catalog row 67
LRG-00068,Bulk SKU 68,Glass & Aluminium,pcs,78,INR,Jindal,10k catalog row 68
LRG-00069,Bulk SKU 69,Sanitary Ware,pcs,79,INR,Saint-Gobain,10k catalog row 69
LRG-00070,Bulk SKU 70,Steel & Metal,pcs,80,INR,UltraTech,10k catalog row 70
LRG-00071,Bulk SKU 71,Tiles & Flooring,pcs,81,INR,Tata,10k catalog row 71
LRG-00072,Bulk SKU 72,Electrical Supplies,pcs,82,INR,Kajaria,10k catalog row 72
LRG-00073,Bulk SKU 73,Plumbing & HVAC,pcs,83,INR,Havells,10k catalog row 73
LRG-00074,Bulk SKU 74,Paint & Finishes,pcs,84,INR,Jaquar,10k catalog row 74
LRG-00075,Bulk SKU 75,Building Materials,pcs,85,INR,Asian Paints,10k catalog row 75
LRG-00076,Bulk SKU 76,Lighting & Fixtures,pcs,86,INR,Bosch,10k catalog row 76
LRG-00077,Bulk SKU 77,Timber & Wood,pcs,87,INR,3M,10k catalog row 77
LRG-00078,Bulk SKU 78,Glass & Aluminium,pcs,88,INR,Jindal,10k catalog row 78
LRG-00079,Bulk SKU 79,Sanitary Ware,pcs,89,INR,Saint-Gobain,10k catalog row 79
LRG-00080,Bulk SKU 80,Steel & Metal,pcs,90,INR,UltraTech,10k catalog row 80
LRG-00081,Bulk SKU 81,Tiles & Flooring,pcs,91,INR,Tata,10k catalog row 81
LRG-00082,Bulk SKU 82,Electrical Supplies,pcs,92,INR,Kajaria,10k catalog row 82
LRG-00083,Bulk SKU 83,Plumbing & HVAC,pcs,93,INR,Havells,10k catalog row 83
LRG-00084,Bulk SKU 84,Paint & Finishes,pcs,94,INR,Jaquar,10k catalog row 84
LRG-00085,Bulk SKU 85,Building Materials,pcs,95,INR,Asian Paints,10k catalog row 85
LRG-00086,Bulk SKU 86,Lighting & Fixtures,pcs,96,INR,Bosch,10k catalog row 86
LRG-00087,Bulk SKU 87,Timber & Wood,pcs,97,INR,3M,10k catalog row 87
LRG-00088,Bulk SKU 88,Glass & Aluminium,pcs,98,INR,Jindal,10k catalog row 88
LRG-00089,Bulk SKU 89,Sanitary Ware,pcs,99,INR,Saint-Gobain,10k catalog row 89
LRG-00090,Bulk SKU 90,Steel & Metal,pcs,100,INR,UltraTech,10k catalog row 90
LRG-00091,Bulk SKU 91,Tiles & Flooring,pcs,101,INR,Tata,10k catalog row 91
LRG-00092,Bulk SKU 92,Electrical Supplies,pcs,102,INR,Kajaria,10k catalog row 92
LRG-00093,Bulk SKU 93,Plumbing & HVAC,pcs,103,INR,Havells,10k catalog row 93
LRG-00094,Bulk SKU 94,Paint & Finishes,pcs,104,INR,Jaquar,10k catalog row 94
LRG-00095,Bulk SKU 95,Building Materials,pcs,105,INR,Asian Paints,10k catalog row 95
LRG-00096,Bulk SKU 96,Lighting & Fixtures,pcs,106,INR,Bosch,10k catalog row 96
LRG-00097,Bulk SKU 97,Timber & Wood,pcs,107,INR,3M,10k catalog row 97
LRG-00098,Bulk SKU 98,Glass & Aluminium,pcs,108,INR,Jindal,10k catalog row 98
LRG-00099,Bulk SKU 99,Sanitary Ware,pcs,109,INR,Saint-Gobain,10k catalog row 99
LRG-00100,Bulk SKU 100,Steel & Metal,pcs,110,INR,UltraTech,10k catalog row 100
LRG-00101,Bulk SKU 101,Tiles & Flooring,pcs,111,INR,Tata,10k catalog row 101
LRG-00102,Bulk SKU 102,Electrical Supplies,pcs,112,INR,Kajaria,10k catalog row 102
LRG-00103,Bulk SKU 103,Plumbing & HVAC,pcs,113,INR,Havells,10k catalog row 103
LRG-00104,Bulk SKU 104,Paint & Finishes,pcs,114,INR,Jaquar,10k catalog row 104
LRG-00105,Bulk SKU 105,Building Materials,pcs,115,INR,Asian Paints,10k catalog row 105
LRG-00106,Bulk SKU 106,Lighting & Fixtures,pcs,116,INR,Bosch,10k catalog row 106
LRG-00107,Bulk SKU 107,Timber & Wood,pcs,117,INR,3M,10k catalog row 107
LRG-00108,Bulk SKU 108,Glass & Aluminium,pcs,118,INR,Jindal,10k catalog row 108
LRG-00109,Bulk SKU 109,Sanitary Ware,pcs,119,INR,Saint-Gobain,10k catalog row 109
LRG-00110,Bulk SKU 110,Steel & Metal,pcs,120,INR,UltraTech,10k catalog row 110
LRG-00111,Bulk SKU 111,Tiles & Flooring,pcs,121,INR,Tata,10k catalog row 111
LRG-00112,Bulk SKU 112,Electrical Supplies,pcs,122,INR,Kajaria,10k catalog row 112
LRG-00113,Bulk SKU 113,Plumbing & HVAC,pcs,123,INR,Havells,10k catalog row 113
LRG-00114,Bulk SKU 114,Paint & Finishes,pcs,124,INR,Jaquar,10k catalog row 114
LRG-00115,Bulk SKU 115,Building Materials,pcs,125,INR,Asian Paints,10k catalog row 115
LRG-00116,Bulk SKU 116,Lighting & Fixtures,pcs,126,INR,Bosch,10k catalog row 116
LRG-00117,Bulk SKU 117,Timber & Wood,pcs,127,INR,3M,10k catalog row 117
LRG-00118,Bulk SKU 118,Glass & Aluminium,pcs,128,INR,Jindal,10k catalog row 118
LRG-00119,Bulk SKU 119,Sanitary Ware,pcs,129,INR,Saint-Gobain,10k catalog row 119
LRG-00120,Bulk SKU 120,Steel & Metal,pcs,130,INR,UltraTech,10k catalog row 120
LRG-00121,Bulk SKU 121,Tiles & Flooring,pcs,131,INR,Tata,10k catalog row 121
LRG-00122,Bulk SKU 122,Electrical Supplies,pcs,132,INR,Kajaria,10k catalog row 122
LRG-00123,Bulk SKU 123,Plumbing & HVAC,pcs,133,INR,Havells,10k catalog row 123
LRG-00124,Bulk SKU 124,Paint & Finishes,pcs,134,INR,Jaquar,10k catalog row 124
LRG-00125,Bulk SKU 125,Building Materials,pcs,135,INR,Asian Paints,10k catalog row 125
LRG-00126,Bulk SKU 126,Lighting & Fixtures,pcs,136,INR,Bosch,10k catalog row 126
LRG-00127,Bulk SKU 127,Timber & Wood,pcs,137,INR,3M,10k catalog row 127
LRG-00128,Bulk SKU 128,Glass & Aluminium,pcs,138,INR,Jindal,10k catalog row 128
LRG-00129,Bulk SKU 129,Sanitary Ware,pcs,139,INR,Saint-Gobain,10k catalog row 129
LRG-00130,Bulk SKU 130,Steel & Metal,pcs,140,INR,UltraTech,10k catalog row 130
LRG-00131,Bulk SKU 131,Tiles & Flooring,pcs,141,INR,Tata,10k catalog row 131
LRG-00132,Bulk SKU 132,Electrical Supplies,pcs,142,INR,Kajaria,10k catalog row 132
LRG-00133,Bulk SKU 133,Plumbing & HVAC,pcs,143,INR,Havells,10k catalog row 133
LRG-00134,Bulk SKU 134,Paint & Finishes,pcs,144,INR,Jaquar,10k catalog row 134
LRG-00135,Bulk SKU 135,Building Materials,pcs,145,INR,Asian Paints,10k catalog row 135
LRG-00136,Bulk SKU 136,Lighting & Fixtures,pcs,146,INR,Bosch,10k catalog row 136
LRG-00137,Bulk SKU 137,Timber & Wood,pcs,147,INR,3M,10k catalog row 137
LRG-00138,Bulk SKU 138,Glass & Aluminium,pcs,148,INR,Jindal,10k catalog row 138
LRG-00139,Bulk SKU 139,Sanitary Ware,pcs,149,INR,Saint-Gobain,10k catalog row 139
LRG-00140,Bulk SKU 140,Steel & Metal,pcs,150,INR,UltraTech,10k catalog row 140
LRG-00141,Bulk SKU 141,Tiles & Flooring,pcs,151,INR,Tata,10k catalog row 141
LRG-00142,Bulk SKU 142,Electrical Supplies,pcs,152,INR,Kajaria,10k catalog row 142
LRG-00143,Bulk SKU 143,Plumbing & HVAC,pcs,153,INR,Havells,10k catalog row 143
LRG-00144,Bulk SKU 144,Paint & Finishes,pcs,154,INR,Jaquar,10k catalog row 144
LRG-00145,Bulk SKU 145,Building Materials,pcs,155,INR,Asian Paints,10k catalog row 145
LRG-00146,Bulk SKU 146,Lighting & Fixtures,pcs,156,INR,Bosch,10k catalog row 146
LRG-00147,Bulk SKU 147,Timber & Wood,pcs,157,INR,3M,10k catalog row 147
LRG-00148,Bulk SKU 148,Glass & Aluminium,pcs,158,INR,Jindal,10k catalog row 148
LRG-00149,Bulk SKU 149,Sanitary Ware,pcs,159,INR,Saint-Gobain,10k catalog row 149
LRG-00150,Bulk SKU 150,Steel & Metal,pcs,160,INR,UltraTech,10k catalog row 150
LRG-00151,Bulk SKU 151,Tiles & Flooring,pcs,161,INR,Tata,10k catalog row 151
LRG-00152,Bulk SKU 152,Electrical Supplies,pcs,162,INR,Kajaria,10k catalog row 152
LRG-00153,Bulk SKU 153,Plumbing & HVAC,pcs,163,INR,Havells,10k catalog row 153
LRG-00154,Bulk SKU 154,Paint & Finishes,pcs,164,INR,Jaquar,10k catalog row 154
LRG-00155,Bulk SKU 155,Building Materials,pcs,165,INR,Asian Paints,10k catalog row 155
LRG-00156,Bulk SKU 156,Lighting & Fixtures,pcs,166,INR,Bosch,10k catalog row 156
LRG-00157,Bulk SKU 157,Timber & Wood,pcs,167,INR,3M,10k catalog row 157
LRG-00158,Bulk SKU 158,Glass & Aluminium,pcs,168,INR,Jindal,10k catalog row 158
LRG-00159,Bulk SKU 159,Sanitary Ware,pcs,169,INR,Saint-Gobain,10k catalog row 159
LRG-00160,Bulk SKU 160,Steel & Metal,pcs,170,INR,UltraTech,10k catalog row 160
LRG-00161,Bulk SKU 161,Tiles & Flooring,pcs,171,INR,Tata,10k catalog row 161
LRG-00162,Bulk SKU 162,Electrical Supplies,pcs,172,INR,Kajaria,10k catalog row 162
LRG-00163,Bulk SKU 163,Plumbing & HVAC,pcs,173,INR,Havells,10k catalog row 163
LRG-00164,Bulk SKU 164,Paint & Finishes,pcs,174,INR,Jaquar,10k catalog row 164
LRG-00165,Bulk SKU 165,Building Materials,pcs,175,INR,Asian Paints,10k catalog row 165
LRG-00166,Bulk SKU 166,Lighting & Fixtures,pcs,176,INR,Bosch,10k catalog row 166
LRG-00167,Bulk SKU 167,Timber & Wood,pcs,177,INR,3M,10k catalog row 167
LRG-00168,Bulk SKU 168,Glass & Aluminium,pcs,178,INR,Jindal,10k catalog row 168
LRG-00169,Bulk SKU 169,Sanitary Ware,pcs,179,INR,Saint-Gobain,10k catalog row 169
LRG-00170,Bulk SKU 170,Steel & Metal,pcs,180,INR,UltraTech,10k catalog row 170
LRG-00171,Bulk SKU 171,Tiles & Flooring,pcs,181,INR,Tata,10k catalog row 171
LRG-00172,Bulk SKU 172,Electrical Supplies,pcs,182,INR,Kajaria,10k catalog row 172
LRG-00173,Bulk SKU 173,Plumbing & HVAC,pcs,183,INR,Havells,10k catalog row 173
LRG-00174,Bulk SKU 174,Paint & Finishes,pcs,184,INR,Jaquar,10k catalog row 174
LRG-00175,Bulk SKU 175,Building Materials,pcs,185,INR,Asian Paints,10k catalog row 175
LRG-00176,Bulk SKU 176,Lighting & Fixtures,pcs,186,INR,Bosch,10k catalog row 176
LRG-00177,Bulk SKU 177,Timber & Wood,pcs,187,INR,3M,10k catalog row 177
LRG-00178,Bulk SKU 178,Glass & Aluminium,pcs,188,INR,Jindal,10k catalog row 178
LRG-00179,Bulk SKU 179,Sanitary Ware,pcs,189,INR,Saint-Gobain,10k catalog row 179
LRG-00180,Bulk SKU 180,Steel & Metal,pcs,190,INR,UltraTech,10k catalog row 180
LRG-00181,Bulk SKU 181,Tiles & Flooring,pcs,191,INR,Tata,10k catalog row 181
LRG-00182,Bulk SKU 182,Electrical Supplies,pcs,192,INR,Kajaria,10k catalog row 182
LRG-00183,Bulk SKU 183,Plumbing & HVAC,pcs,193,INR,Havells,10k catalog row 183
LRG-00184,Bulk SKU 184,Paint & Finishes,pcs,194,INR,Jaquar,10k catalog row 184
LRG-00185,Bulk SKU 185,Building Materials,pcs,195,INR,Asian Paints,10k catalog row 185
LRG-00186,Bulk SKU 186,Lighting & Fixtures,pcs,196,INR,Bosch,10k catalog row 186
LRG-00187,Bulk SKU 187,Timber & Wood,pcs,197,INR,3M,10k catalog row 187
LRG-00188,Bulk SKU 188,Glass & Aluminium,pcs,198,INR,Jindal,10k catalog row 188
LRG-00189,Bulk SKU 189,Sanitary Ware,pcs,199,INR,Saint-Gobain,10k catalog row 189
LRG-00190,Bulk SKU 190,Steel & Metal,pcs,200,INR,UltraTech,10k catalog row 190
LRG-00191,Bulk SKU 191,Tiles & Flooring,pcs,201,INR,Tata,10k catalog row 191
LRG-00192,Bulk SKU 192,Electrical Supplies,pcs,202,INR,Kajaria,10k catalog row 192
LRG-00193,Bulk SKU 193,Plumbing & HVAC,pcs,203,INR,Havells,10k catalog row 193
LRG-00194,Bulk SKU 194,Paint & Finishes,pcs,204,INR,Jaquar,10k catalog row 194
LRG-00195,Bulk SKU 195,Building Materials,pcs,205,INR,Asian Paints,10k catalog row 195
LRG-00196,Bulk SKU 196,Lighting & Fixtures,pcs,206,INR,Bosch,10k catalog row 196
LRG-00197,Bulk SKU 197,Timber & Wood,pcs,207,INR,3M,10k catalog row 197
LRG-00198,Bulk SKU 198,Glass & Aluminium,pcs,208,INR,Jindal,10k catalog row 198
LRG-00199,Bulk SKU 199,Sanitary Ware,pcs,209,INR,Saint-Gobain,10k catalog row 199
LRG-00200,Bulk SKU 200,Steel & Metal,pcs,210,INR,UltraTech,10k catalog row 200
LRG-00201,Bulk SKU 201,Tiles & Flooring,pcs,211,INR,Tata,10k catalog row 201
LRG-00202,Bulk SKU 202,Electrical Supplies,pcs,212,INR,Kajaria,10k catalog row 202
LRG-00203,Bulk SKU 203,Plumbing & HVAC,pcs,213,INR,Havells,10k catalog row 203
LRG-00204,Bulk SKU 204,Paint & Finishes,pcs,214,INR,Jaquar,10k catalog row 204
LRG-00205,Bulk SKU 205,Building Materials,pcs,215,INR,Asian Paints,10k catalog row 205
LRG-00206,Bulk SKU 206,Lighting & Fixtures,pcs,216,INR,Bosch,10k catalog row 206
LRG-00207,Bulk SKU 207,Timber & Wood,pcs,217,INR,3M,10k catalog row 207
LRG-00208,Bulk SKU 208,Glass & Aluminium,pcs,218,INR,Jindal,10k catalog row 208
LRG-00209,Bulk SKU 209,Sanitary Ware,pcs,219,INR,Saint-Gobain,10k catalog row 209
LRG-00210,Bulk SKU 210,Steel & Metal,pcs,220,INR,UltraTech,10k catalog row 210
LRG-00211,Bulk SKU 211,Tiles & Flooring,pcs,221,INR,Tata,10k catalog row 211
LRG-00212,Bulk SKU 212,Electrical Supplies,pcs,222,INR,Kajaria,10k catalog row 212
LRG-00213,Bulk SKU 213,Plumbing & HVAC,pcs,223,INR,Havells,10k catalog row 213
LRG-00214,Bulk SKU 214,Paint & Finishes,pcs,224,INR,Jaquar,10k catalog row 214
LRG-00215,Bulk SKU 215,Building Materials,pcs,225,INR,Asian Paints,10k catalog row 215
LRG-00216,Bulk SKU 216,Lighting & Fixtures,pcs,226,INR,Bosch,10k catalog row 216
LRG-00217,Bulk SKU 217,Timber & Wood,pcs,227,INR,3M,10k catalog row 217
LRG-00218,Bulk SKU 218,Glass & Aluminium,pcs,228,INR,Jindal,10k catalog row 218
LRG-00219,Bulk SKU 219,Sanitary Ware,pcs,229,INR,Saint-Gobain,10k catalog row 219
LRG-00220,Bulk SKU 220,Steel & Metal,pcs,230,INR,UltraTech,10k catalog row 220
LRG-00221,Bulk SKU 221,Tiles & Flooring,pcs,231,INR,Tata,10k catalog row 221
LRG-00222,Bulk SKU 222,Electrical Supplies,pcs,232,INR,Kajaria,10k catalog row 222
LRG-00223,Bulk SKU 223,Plumbing & HVAC,pcs,233,INR,Havells,10k catalog row 223
LRG-00224,Bulk SKU 224,Paint & Finishes,pcs,234,INR,Jaquar,10k catalog row 224
LRG-00225,Bulk SKU 225,Building Materials,pcs,235,INR,Asian Paints,10k catalog row 225
LRG-00226,Bulk SKU 226,Lighting & Fixtures,pcs,236,INR,Bosch,10k catalog row 226
LRG-00227,Bulk SKU 227,Timber & Wood,pcs,237,INR,3M,10k catalog row 227
LRG-00228,Bulk SKU 228,Glass & Aluminium,pcs,238,INR,Jindal,10k catalog row 228
LRG-00229,Bulk SKU 229,Sanitary Ware,pcs,239,INR,Saint-Gobain,10k catalog row 229
LRG-00230,Bulk SKU 230,Steel & Metal,pcs,240,INR,UltraTech,10k catalog row 230
LRG-00231,Bulk SKU 231,Tiles & Flooring,pcs,241,INR,Tata,10k catalog row 231
LRG-00232,Bulk SKU 232,Electrical Supplies,pcs,242,INR,Kajaria,10k catalog row 232
LRG-00233,Bulk SKU 233,Plumbing & HVAC,pcs,243,INR,Havells,10k catalog row 233
LRG-00234,Bulk SKU 234,Paint & Finishes,pcs,244,INR,Jaquar,10k catalog row 234
LRG-00235,Bulk SKU 235,Building Materials,pcs,245,INR,Asian Paints,10k catalog row 235
LRG-00236,Bulk SKU 236,Lighting & Fixtures,pcs,246,INR,Bosch,10k catalog row 236
LRG-00237,Bulk SKU 237,Timber & Wood,pcs,247,INR,3M,10k catalog row 237
LRG-00238,Bulk SKU 238,Glass & Aluminium,pcs,248,INR,Jindal,10k catalog row 238
LRG-00239,Bulk SKU 239,Sanitary Ware,pcs,249,INR,Saint-Gobain,10k catalog row 239
LRG-00240,Bulk SKU 240,Steel & Metal,pcs,250,INR,UltraTech,10k catalog row 240
LRG-00241,Bulk SKU 241,Tiles & Flooring,pcs,251,INR,Tata,10k catalog row 241
LRG-00242,Bulk SKU 242,Electrical Supplies,pcs,252,INR,Kajaria,10k catalog row 242
LRG-00243,Bulk SKU 243,Plumbing & HVAC,pcs,253,INR,Havells,10k catalog row 243
LRG-00244,Bulk SKU 244,Paint & Finishes,pcs,254,INR,Jaquar,10k catalog row 244
LRG-00245,Bulk SKU 245,Building Materials,pcs,255,INR,Asian Paints,10k catalog row 245
LRG-00246,Bulk SKU 246,Lighting & Fixtures,pcs,256,INR,Bosch,10k catalog row 246
LRG-00247,Bulk SKU 247,Timber & Wood,pcs,257,INR,3M,10k catalog row 247
LRG-00248,Bulk SKU 248,Glass & Aluminium,pcs,258,INR,Jindal,10k catalog row 248
LRG-00249,Bulk SKU 249,Sanitary Ware,pcs,259,INR,Saint-Gobain,10k catalog row 249
LRG-00250,Bulk SKU 250,Steel & Metal,pcs,260,INR,UltraTech,10k catalog row 250
LRG-00251,Bulk SKU 251,Tiles & Flooring,pcs,261,INR,Tata,10k catalog row 251
LRG-00252,Bulk SKU 252,Electrical Supplies,pcs,262,INR,Kajaria,10k catalog row 252
LRG-00253,Bulk SKU 253,Plumbing & HVAC,pcs,263,INR,Havells,10k catalog row 253
LRG-00254,Bulk SKU 254,Paint & Finishes,pcs,264,INR,Jaquar,10k catalog row 254
LRG-00255,Bulk SKU 255,Building Materials,pcs,265,INR,Asian Paints,10k catalog row 255
LRG-00256,Bulk SKU 256,Lighting & Fixtures,pcs,266,INR,Bosch,10k catalog row 256
LRG-00257,Bulk SKU 257,Timber & Wood,pcs,267,INR,3M,10k catalog row 257
LRG-00258,Bulk SKU 258,Glass & Aluminium,pcs,268,INR,Jindal,10k catalog row 258
LRG-00259,Bulk SKU 259,Sanitary Ware,pcs,269,INR,Saint-Gobain,10k catalog row 259
LRG-00260,Bulk SKU 260,Steel & Metal,pcs,270,INR,UltraTech,10k catalog row 260
LRG-00261,Bulk SKU 261,Tiles & Flooring,pcs,271,INR,Tata,10k catalog row 261
LRG-00262,Bulk SKU 262,Electrical Supplies,pcs,272,INR,Kajaria,10k catalog row 262
LRG-00263,Bulk SKU 263,Plumbing & HVAC,pcs,273,INR,Havells,10k catalog row 263
LRG-00264,Bulk SKU 264,Paint & Finishes,pcs,274,INR,Jaquar,10k catalog row 264
LRG-00265,Bulk SKU 265,Building Materials,pcs,275,INR,Asian Paints,10k catalog row 265
LRG-00266,Bulk SKU 266,Lighting & Fixtures,pcs,276,INR,Bosch,10k catalog row 266
LRG-00267,Bulk SKU 267,Timber & Wood,pcs,277,INR,3M,10k catalog row 267
LRG-00268,Bulk SKU 268,Glass & Aluminium,pcs,278,INR,Jindal,10k catalog row 268
LRG-00269,Bulk SKU 269,Sanitary Ware,pcs,279,INR,Saint-Gobain,10k catalog row 269
LRG-00270,Bulk SKU 270,Steel & Metal,pcs,280,INR,UltraTech,10k catalog row 270
LRG-00271,Bulk SKU 271,Tiles & Flooring,pcs,281,INR,Tata,10k catalog row 271
LRG-00272,Bulk SKU 272,Electrical Supplies,pcs,282,INR,Kajaria,10k catalog row 272
LRG-00273,Bulk SKU 273,Plumbing & HVAC,pcs,283,INR,Havells,10k catalog row 273
LRG-00274,Bulk SKU 274,Paint & Finishes,pcs,284,INR,Jaquar,10k catalog row 274
LRG-00275,Bulk SKU 275,Building Materials,pcs,285,INR,Asian Paints,10k catalog row 275
LRG-00276,Bulk SKU 276,Lighting & Fixtures,pcs,286,INR,Bosch,10k catalog row 276
LRG-00277,Bulk SKU 277,Timber & Wood,pcs,287,INR,3M,10k catalog row 277
LRG-00278,Bulk SKU 278,Glass & Aluminium,pcs,288,INR,Jindal,10k catalog row 278
LRG-00279,Bulk SKU 279,Sanitary Ware,pcs,289,INR,Saint-Gobain,10k catalog row 279
LRG-00280,Bulk SKU 280,Steel & Metal,pcs,290,INR,UltraTech,10k catalog row 280
LRG-00281,Bulk SKU 281,Tiles & Flooring,pcs,291,INR,Tata,10k catalog row 281
